MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name,source_file,source_row_number,state_code,district_code,subdistrict_code,village_code,state_name,district_name,subdistrict_name,village_name_raw,village_name_display,village_name_normalized,row_type,has_og_marker,has_part_marker,has_rural_marker,has_ward_marker,has_double_space_raw,full_address,quality_flags,canonical_rank,duplicate_village_code_count,is_duplicate_village_code,is_canonical_village_code_row
8,RAJASTHAN,111,Sikar,555.0,Sri Madhopur,81961,Mahron Ki Dhani (Rural),Rdir_2011_08_RAJASTHAN.xls,58672,08,111,00555,081961,RAJASTHAN,Sikar,Sri Madhopur,Mahron Ki Dhani (Rural),Mahron Ki Dhani,MAHRON KI DHANI,VILLAGE,False,False,True,False,False,"Mahron Ki Dhani, Sri Madhopur, Sikar, RAJASTHAN, India",RURAL,4.23,2,True,True
8,RAJASTHAN,111,Sikar,555.0,Sri Madhopur,81961,Mehro Ki Dhani (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,58882,08,111,00555,081961,RAJASTHAN,Sikar,Sri Madhopur,Mehro Ki Dhani (OG) (Part),Mehro Ki Dhani,MEHRO KI DHANI,VILLAGE,True,True,False,False,False,"Mehro Ki Dhani, Sri Madhopur, Sikar, RAJASTHAN, India",OG|PART,15.26,2,True,False
8,RAJASTHAN,112,Nagaur,558.0,Didwana,82463,Didwana (Rural),Rdir_2011_08_RAJASTHAN.xls,59181,08,112,00558,082463,RAJASTHAN,Nagaur,Didwana,Didwana (Rural),Didwana,DIDWANA,VILLAGE,False,False,True,False,False,"Didwana, Didwana, Nagaur, RAJASTHAN, India",RURAL,4.15,2,True,True
8,RAJASTHAN,112,Nagaur,558.0,Didwana,82463,Didwana (Rural) (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,59371,08,112,00558,082463,RAJASTHAN,Nagaur,Didwana,Didwana (Rural) (OG) (Part),Didwana,DIDWANA,VILLAGE,True,True,True,False,False,"Didwana, Didwana, Nagaur, RAJASTHAN, India",OG|PART|RURAL,19.27,2,True,False
8,RAJASTHAN,112,Nagaur,560.0,Nagaur,82900,Tausar,Rdir_2011_08_RAJASTHAN.xls,59620,08,112,00560,082900,RAJASTHAN,Nagaur,Nagaur,Tausar,Tausar,TAUSAR,VILLAGE,False,False,False,False,False,"Tausar, Nagaur, Nagaur, RAJASTHAN, India",,0.06,2,True,True
8,RAJASTHAN,112,Nagaur,560.0,Nagaur,82900,Tausar (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,59710,08,112,00560,082900,RAJASTHAN,Nagaur,Nagaur,Tausar (OG) (Part),Tausar,TAUSAR,VILLAGE,True,True,False,False,False,"Tausar, Nagaur, Nagaur, RAJASTHAN, India",OG|PART,15.18,2,True,False
8,RAJASTHAN,112,Nagaur,564.0,Parbatsar,83497,Dirdhani,Rdir_2011_08_RAJASTHAN.xls,60222,08,112,00564,083497,RAJASTHAN,Nagaur,Parbatsar,Dirdhani,Dirdhani,DIRDHANI,VILLAGE,False,False,False,False,False,"Dirdhani, Parbatsar, Nagaur, RAJASTHAN, India",,0.08,2,True,True
8,RAJASTHAN,112,Nagaur,564.0,Parbatsar,83497,Dirdhani (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,60334,08,112,00564,083497,RAJASTHAN,Nagaur,Parbatsar,Dirdhani (OG) (Part),Dirdhani,DIRDHANI,VILLAGE,True,True,False,False,False,"Dirdhani, Parbatsar, Nagaur, RAJASTHAN, India",OG|PART,15.2,2,True,False
8,RAJASTHAN,113,Jodhpur,567.0,Phalodi,84201,Phalodi (Rural),Rdir_2011_08_RAJASTHAN.xls,60931,08,113,00567,084201,RAJASTHAN,Jodhpur,Phalodi,Phalodi (Rural),Phalodi,PHALODI,VILLAGE,False,False,True,False,False,"Phalodi, Phalodi, Jodhpur, RAJASTHAN, India",RURAL,4.15,2,True,True
8,RAJASTHAN,113,Jodhpur,567.0,Phalodi,84201,Phalodi (Rural) (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,61192,08,113,00567,084201,RAJASTHAN,Jodhpur,Phalodi,Phalodi (Rural) (OG) (Part),Phalodi,PHALODI,VILLAGE,True,True,True,False,False,"Phalodi, Phalodi, Jodhpur, RAJASTHAN, India",OG|PART|RURAL,19.27,2,True,False
